user_id,age,monthly_spend,plan_tier,is_active,email,first_name,last_name,gender,country,state_province,city,primary_device,subscription_start_date,created_at
user_00001,43.0,36.06,1,1,figueroajohn@example.org,Erica,Garza,Male,USA,Massachusetts,North Jefferyhaven,Laptop,2024-04-08,2023-04-01 14:40:50.540242
user_00002,38.0,14.59,4,1,blakeerik@example.com,Joshua,Bernard,Male,USA,Texas,North Noahstad,Desktop,2024-05-24,2024-10-10 15:39:11.030515
user_00003,32.0,11.71,2,0,smiller@example.net,Barbara,Williams,Female,USA,Michigan,Traciebury,Desktop,2023-09-22,2024-06-29 14:27:49.560875
user_00004,11.0,28.56,2,0,mitchellclark@example.com,Chelsea,Ferguson,Male,USA,Ohio,South Noah,Laptop,2024-08-21,2023-04-11 01:01:59.614841
user_00005,21.0,9.54,2,0,richard13@example.net,Jason,Foster,Female,USA,Arizona,West Donald,Desktop,2024-10-28,2025-04-12 19:59:30.137806
user_00006,43.0,13.48,2,0,jeffrey28@example.com,Katelyn,Hernandez,Female,Canada,Quebec,Carlsonfurt,Gaming Console,2024-05-16,2024-03-04 19:57:36.106319
user_00007,63.0,27.74,3,1,maldonadoamanda@example.com,Daniel,Moore,,USA,Maryland,Teresaburgh,Desktop,2025-03-13,2025-02-10 07:18:23.258712
user_00009,24.0,12.21,3,0,donnaarroyo@example.org,Allison,Brandt,Male,USA,North Carolina,Raymondstad,Gaming Console,2025-04-13,2022-12-13 15:46:23.391721
user_00010,24.0,23.18,1,0,morganbrianna@example.org,Adrian,Perez,Male,USA,Pennsylvania,Chadbury,Laptop,2024-08-04,2024-03-15 22:04:39.445799
user_00011,67.0,556.13,1,1,kristenaguirre@example.org,Collin,Gomez,Female,USA,Ohio,Shieldston,Desktop,2022-10-07,2024-12-27 07:05:50.526519
user_00012,41.0,29.23,3,1,jamesherrera@example.org,Isaiah,Wright,Female,USA,Missouri,Mortonside,Tablet,2022-09-26,2025-06-29 19:39:28.228369
user_00013,32.0,18.68,1,0,richardolson@example.com,Franklin,Galloway,Female,USA,Ohio,Mitchellside,Gaming Console,2023-01-18,2023-03-29 14:38:00.334657
user_00014,22.0,25.19,1,1,adkinsbrian@example.net,Wesley,Brown,Male,USA,Pennsylvania,North Brooke,Laptop,2023-10-18,2024-04-28 09:41:18.589372
user_00015,45.0,5.14,1,0,barnesbrandy@example.net,Sarah,Santiago,Female,Canada,Alberta,West Randy,Mobile,2023-12-16,2022-08-13 06:39:47.240847
user_00016,50.0,3.36,2,0,medinawilliam@example.org,Nicole,Wood,Female,USA,Pennsylvania,Bassport,Laptop,2024-08-02,2025-05-20 00:20:29.058670
user_00017,25.0,13.48,3,0,josephpreston@example.net,Joseph,Robbins,Female,USA,Indiana,Williamview,Smart TV,2022-11-11,2025-01-27 19:17:27.125271
user_00018,36.0,8.78,1,0,cookdavid@example.com,Joyce,Hoffman,Female,USA,Tennessee,Lake Rebeccaside,Laptop,2025-02-01,2023-11-16 23:54:48.504059
user_00019,26.0,10.28,3,1,michael05@example.org,Elizabeth,Deleon,Other,USA,Ohio,East Michelle,Mobile,2025-03-25,2023-02-15 14:23:22.312820
user_00020,31.0,11.32,4,0,vpham@example.org,Erik,Reyes,Female,USA,Indiana,Walkermouth,Tablet,2023-07-02,2023-04-04 07:58:29.582072
user_00021,38.0,17.24,1,0,emurphy@example.com,Darlene,Frazier,Female,Canada,Alberta,North Natalieview,Laptop,2024-04-29,2022-09-13 23:45:07.830930
user_00022,33.0,13.48,4,1,jessica56@example.net,Paul,Scott,Male,USA,Florida,New Saraside,Gaming Console,2023-09-05,2025-06-07 18:30:35.952797
user_00023,40.0,13.48,1,1,elizabeth14@example.net,Elizabeth,Powell,Female,Canada,New Brunswick,East Robert,Gaming Console,2024-08-13,2024-06-07 12:03:36.120220
user_00025,36.0,11.97,4,1,cardenaskaren@example.net,Jeffrey,Hernandez,Male,USA,New York,South Cheryl,Tablet,2023-12-14,2024-09-28 04:14:08.236240
